,$E_{12}$,$E_{14}$,$E_{16}$,$E_{17}$,$E_{32}$,$E_{48}$,$E_{49}$,$E_{44}$,$E_{46}$,$E_{13}$
$E_{12}$,1.0,0.5833333333333334,0.4375,0.589041095890411,0.17699115044247787,0.8275862068965517,0.16666666666666666,0.10909090909090909,0.11842105263157894,0.1144578313253012
$E_{14}$,0.5833333333333334,1.0,0.5,0.7222222222222222,0.1652892561983471,0.6285714285714286,0.15384615384615385,0.10404624277456648,0.1125,0.11560693641618497
$E_{16}$,0.4375,0.5,1.0,0.524390243902439,0.16393442622950818,0.4375,0.14150943396226415,0.09090909090909091,0.09815950920245399,0.10857142857142857
$E_{17}$,0.589041095890411,0.7222222222222222,0.524390243902439,1.0,0.1721311475409836,0.6338028169014085,0.1509433962264151,0.10285714285714286,0.1111111111111111,0.1206896551724138
$E_{32}$,0.17699115044247787,0.1652892561983471,0.16393442622950818,0.1721311475409836,1.0,0.17699115044247787,0.1487603305785124,0.1111111111111111,0.13872832369942195,0.13368983957219252
$E_{48}$,0.8275862068965517,0.6285714285714286,0.4375,0.6338028169014085,0.17699115044247787,1.0,0.16666666666666666,0.10909090909090909,0.11842105263157894,0.1144578313253012
$E_{49}$,0.16666666666666666,0.15384615384615385,0.14150943396226415,0.1509433962264151,0.1487603305785124,0.16666666666666666,1.0,0.13855421686746988,0.13548387096774195,0.10404624277456648
$E_{44}$,0.10909090909090909,0.10404624277456648,0.09090909090909091,0.10285714285714286,0.1111111111111111,0.10909090909090909,0.13855421686746988,1.0,0.12272727272727273,0.10548523206751055
$E_{46}$,0.11842105263157894,0.1125,0.09815950920245399,0.1111111111111111,0.13872832369942195,0.11842105263157894,0.13548387096774195,0.12272727272727273,1.0,0.136986301369863
$E_{13}$,0.1144578313253012,0.11560693641618497,0.10857142857142857,0.1206896551724138,0.13368983957219252,0.1144578313253012,0.10404624277456648,0.10548523206751055,0.136986301369863,1.0
