track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
0,event100000001-hits,27,81,32,32,39,103,5,-13.496499162427135,1.608201734366165,1168949.1981829111,128.6561387492932,94684885.05281581,128.6561387492932,1245853.7506949448,-9.17818834213936
1,event100000002-hits,69,207,32,32,32,96,5,-15.741299903718057,0.40409212226160723,2772299.011838809,83.24297718589109,573865895.4506335,0.7499367314044243,2840920.274508087,-15.147405032104974
2,event100000003-hits,25,75,32,32,32,96,5,-13.236892602835084,0.017275180153169124,9685.722006464348,1.2783633313345153,726429.1504848261,1.2783633313345153,10377.559292640371,-9.001820381117865
3,event100000004-hits,25,75,32,32,32,96,5,-14.318268306183505,0.04501463866262536,74421.54540578192,3.3310832610342764,5581615.905433644,3.3310832610342764,79737.37007762348,-10.083196084466286
4,event100000005-hits,41,123,41,39,39,119,5,-6.4940192060992645,427.21241151753975,282462.35004249366,52119.91420513985,34742869.05522672,13029.978551284963,294431.09368836205,-3.1177922533926514
5,event100000006-hits,25,75,32,32,32,96,5,-14.982215897051734,0.04515641708495796,145015.07999503886,3.341574864286889,10876130.999627914,3.341574864286889,155373.2999946845,-10.747143675334515
6,event100000007-hits,39,117,39,32,32,103,5,-13.27689246812904,0.6197539674934729,361659.97789068264,71.89146022924285,42314217.41320987,5.135104302088775,377805.51261794526,-11.206034670140596
7,event100000008-hits,25,75,32,32,32,96,5,-40.6690997814195,6.868709401746207e-15,3156.7541630253627,5.082844957292193e-13,236756.5622269022,5.082844957292193e-13,3382.2366032414598,-36.43402755970228
8,event100000009-hits,53,159,32,39,32,103,5,-14.151360055304444,0.5450961914728298,762659.5820701418,86.12519825270711,121262873.54915255,1.5379499687983411,787421.2568126789,-13.14606831281923
9,event100000010-hits,163,489,39,41,32,112,5,-4.876912654057413,36005.18812960531,4724777.254166371,17570531.807247393,2310416077.2873554,46606.185165112445,4773586.936544123,-4.629120018410517
10,event100000011-hits,37,111,39,42,39,120,5,-10.949077870931088,3.778902325155604,215025.4018393189,415.67925576711644,23867819.604164395,415.67925576711644,225168.109473249,-6.2946886123389385
11,event100000012-hits,25,75,32,32,32,96,5,-42.715624917939635,1.604004892663753e-16,570.6448229520614,1.1869636205711773e-14,42798.36172140461,1.1869636205711773e-14,611.4051674486373,-38.48055269622242
12,event100000013-hits,29,87,39,32,32,103,5,-15.650585163726623,0.12674117620072572,794109.7135984628,10.899741153262413,69087545.08306625,10.899741153262413,842531.037598369,-11.255426738863447
13,event100000014-hits,73,219,33,39,95,167,5,-8.30472449838447,618.4791591577299,2500466.8036434143,134828.4566963851,547602229.9979078,2592.8549364689443,2558888.925223868,-6.894568868971458
14,event100000015-hits,25,75,32,32,32,96,5,-11.707092966576989,0.056300971267780844,6836.62504408202,4.1662718738157825,512746.87830615154,4.1662718738157825,7324.955404373593,-7.47202074485977
15,event100000016-hits,35,105,39,39,42,120,5,-13.49777279635168,0.15724372061470432,114440.97646241491,16.35334694392925,12016302.528553566,16.35334694392925,120163.02528553567,-8.902172061379739
16,event100000017-hits,53,159,39,32,39,110,5,-7.933905027913344,46.95438000924693,131016.88934203211,7418.792041461015,20831685.405383106,151.4039192134901,135270.68445053964,-6.795081892803607
17,event100000018-hits,25,75,32,32,32,96,5,-15.6492041714142,0.02154730552543876,134820.5167842112,1.5945006088824683,10111538.758815842,1.5945006088824683,144450.55369736918,-11.414131949696982
