track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
0,event100000001-hits,134,402,32,32,32,96,5,-2.5834733522667968,133476.369313124,1767635.0559071994,53524024.09456273,710589292.4746941,174915.11142013964,1789897.462152882,-2.325612834844439
1,event100000002-hits,195,585,32,32,32,96,5,-2.1272571760705694,457523.4193400849,3839453.237170494,267193676.89460957,2246080143.744739,546408.3372077906,3872551.971973688,-1.9583024264086055
2,event100000003-hits,155,465,32,32,32,96,5,-1.4117762178016235,720105.9979132469,2954765.702787662,334129183.03174657,1373966051.7962627,905499.1410074433,2986882.7212962233,-1.193499225720111
3,event100000004-hits,233,699,32,39,32,103,5,-1.9333778461987532,157754.6925543572,1090529.9982298603,110112775.40294133,762280468.7626724,184752.97886399552,1098386.8425975107,-1.7825781922287363
4,event100000005-hits,134,402,32,32,39,103,5,-2.7257263765019952,115807.6644226641,1768093.4995760622,46438873.4334883,710773586.829577,155313.95797153277,1790361.6796714785,-2.4447243305179427
5,event100000006-hits,195,585,32,32,32,96,5,-2.1181212800355964,461635.35036855313,3838728.8976677363,269595044.61523503,2245656405.135626,551319.1096426074,3871821.3881648723,-1.9491665303736327
6,event100000007-hits,155,465,32,39,32,103,5,-1.449122679845606,693770.9070094725,2955031.1779020987,321909700.85239524,1374089497.7244759,889253.31727181,2987151.08200973,-1.2116932555493374
7,event100000008-hits,233,699,32,39,39,110,5,-1.9760907075740846,151133.26413014755,1090348.554726357,105491018.36284299,762153639.7537236,179101.89874846008,1098204.0918641551,-1.8134765701903046
8,event100000009-hits,134,402,32,32,32,96,5,-2.626881353111009,127820.52337334568,1767830.684519317,51256029.87271162,710667935.1767654,167503.3655970968,1790095.5546014244,-2.3690208356886515
9,event100000010-hits,195,585,32,32,32,96,5,-2.11058998869378,465138.68861870264,3838840.3389459145,271640994.15332234,2245721598.28336,555503.0555282666,3871933.790143724,-1.9416352390318161
10,event100000011-hits,155,465,32,39,32,103,5,-1.4442322350338965,697126.3828210724,2954837.5489289425,323466641.6289776,1373999460.2519584,893554.2586435846,2986955.3483738224,-1.206802810737628
11,event100000012-hits,233,699,32,32,32,96,5,-1.8483500296283657,171692.1042104124,1090130.6282925897,119841088.73886785,762001309.1765202,198741.4406946399,1097984.5953552164,-1.709226905320184
12,event100000013-hits,134,402,32,32,39,103,5,-2.7518169792882654,112835.88735360892,1768260.2242897763,45247190.82879718,710840610.1644901,151328.39742072634,1790530.5041926703,-2.4708149333042138
13,event100000014-hits,195,585,32,32,32,96,5,-2.1469004736991337,448580.038080505,3839078.322288874,261970742.2390149,2245860818.5389915,535727.4892413393,3872173.825067227,-1.9779457240371703
14,event100000015-hits,155,465,39,39,32,110,5,-1.4515018670807003,692164.1851112772,2955210.186097793,321164181.8916326,1374172736.5354736,904687.836314458,2987332.0359466816,-1.1945460204340763
15,event100000016-hits,233,699,32,39,39,110,5,-1.9355571577365238,157379.51790045138,1090310.0208220505,109850903.49451506,762126704.5546134,186504.080635849,1098165.2803380596,-1.772943020352744
16,event100000017-hits,134,402,32,32,42,106,5,-2.7137479691853823,117179.59947391888,1767737.510484707,46989019.38904147,710630479.2148522,158746.6871251401,1790001.207090308,-2.4226618041347043
17,event100000018-hits,195,585,32,32,32,96,5,-2.123355884487677,459208.86625378754,3838592.4824118223,268177977.8922119,2245576602.210916,548421.22268346,3871683.7969153724,-1.9544011348257135
18,event100000019-hits,155,465,39,32,32,103,5,-1.5382653978105505,634527.3897867727,2954680.6458984194,294420708.8610625,1373926500.342765,813316.8753068026,2986796.7398755765,-1.3008359735142818
19,event100000020-hits,233,699,32,32,32,96,5,-1.8384372705498153,173421.6742156451,1090251.107518719,121048328.60252027,762085524.1555846,200743.49685326745,1098105.9425872976,-1.6993141462416341
20,event100000021-hits,134,402,32,42,39,113,5,-2.7398366924993387,114145.57711357994,1767482.184902979,45772376.42254556,710527838.3309976,158381.92533752788,1789742.6658211525,-2.4248177612370325
21,event100000022-hits,195,585,32,32,39,103,5,-2.1693267379003696,438565.2658303936,3838493.9858701453,256122115.24494985,2245518981.734035,531373.6830808088,3871584.4512655777,-1.9859536128141344
22,event100000023-hits,155,465,32,39,32,103,5,-1.433045633692657,705095.7960991622,2955370.516474137,327164449.39001125,1374247290.1604738,903769.1972099758,2987494.1090445085,-1.1956162093963887
23,event100000024-hits,233,699,32,39,39,110,5,-1.9771949013056733,150985.03193688742,1090482.575388458,105387552.29194742,762247320.1965322,178926.2347910822,1098339.078092986,-1.8145807639218934
