track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
0,event100000001-hits,29,87,3,3,3,9,5,-0.07197821671157041,0.9322055256694938,1.001777827673496,80.16967520757646,87.15467100759416,1.0278163488150829,1.0628618415560263,-0.03352861853798484
1,event100000002-hits,43,129,3,3,3,9,5,-0.016432948976352595,0.6975158053605152,0.7090727442233093,89.28202308614594,91.4703840048069,0.7440168590512162,0.7376643871355395,0.008574733404583326
2,event100000003-hits,56,168,3,3,3,9,5,-0.04739141298319807,0.5094288711138935,0.534152645243577,85.07462147602021,89.73764440092093,0.5350605124278001,0.5505376957111713,-0.02851558138317095
3,event100000004-hits,21,63,3,3,3,9,5,-0.09069313127293135,0.5555990946034274,0.6083437573480484,34.4471438654125,38.32565671292705,0.637910071581713,0.6607871847056388,-0.03523450863722761
4,event100000005-hits,29,87,3,3,3,9,5,-0.012677836955992098,0.76577567256609,0.7755458532052526,65.85670784068374,67.47248922885697,0.8443167671882531,0.8228352344982558,0.025771761217593333
5,event100000006-hits,43,129,3,3,3,9,5,-0.013847846751702479,0.7713431061354081,0.782098847311147,98.73191758533224,100.89075130313796,0.8227659798777687,0.8136350911543384,0.011159835629233403
6,event100000007-hits,56,168,3,3,3,9,5,-0.016101982186890806,0.7163957843529111,0.7280245483348088,119.63809598693615,122.30812412024788,0.7524408552637494,0.7503565896947723,0.002773849413136242
7,event100000008-hits,21,63,3,3,3,9,5,-0.0265472955285114,0.68408897726185,0.7024928957933338,42.4135165902347,44.25705243498003,0.7854354924117537,0.7630526281893109,0.02891132710719251
8,event100000009-hits,29,87,3,3,3,9,5,-0.08999184501062994,0.953839602499967,1.0436582527784029,82.03020581499716,90.79826799172105,1.0516693053204764,1.1072959511185494,-0.05154224683704464
9,event100000010-hits,43,129,3,3,3,9,5,-0.008163756545531557,0.6257699616629742,0.630899504965864,80.09855509286069,81.38603614059646,0.6674879591071724,0.6563390011338425,0.016843925835404148
10,event100000011-hits,56,168,3,3,3,9,5,-0.029798029606579297,0.8517016275086642,0.877462564284623,142.23417179394693,147.41371079981667,0.8945545395845719,0.904378593863906,-0.010922198006552272
11,event100000012-hits,21,63,3,3,3,9,5,-0.001506142762024677,0.8455910134077711,0.8468655537711823,52.42664283128181,53.35252988758449,0.9708637561348483,0.9198712049583533,0.05395247987367912
12,event100000013-hits,29,87,3,3,3,9,5,-0.0697798064959688,1.1146375182986672,1.1951946544325178,95.85882657368538,103.98193493562906,1.2289593150472484,1.268072377263769,-0.03133020832238351
13,event100000014-hits,43,129,3,3,3,9,5,-0.013501361630506324,0.758260695812556,0.7685676702029244,97.05736906400716,99.14522945617725,0.8088114088667263,0.7995583020659456,0.0115063207504294
14,event100000015-hits,56,168,3,3,3,9,5,-0.033013066806971136,0.7230546295309569,0.7473232673177227,120.7501231316698,125.5503089093774,0.7594347366771685,0.7702472939225607,-0.014137235206944071
15,event100000016-hits,21,63,3,3,3,9,5,-0.031364584580415,0.7109804011176359,0.7336333999735207,44.08078486929343,46.218904198331806,0.8163108309128413,0.7968776585919277,0.0240940380552889
16,event100000017-hits,29,87,3,3,3,9,5,-0.008896658519345195,1.0018079256403203,1.0107604333089575,86.15548160506755,87.9361576978793,1.104557456475225,1.0723921670473084,0.02955293965424038
17,event100000018-hits,43,129,3,3,3,9,5,-0.013186045632129863,0.8153331550049489,0.8261553694932363,104.36264384063345,106.57404266462748,0.8696886986719454,0.8594680860050603,0.011821636748806092
18,event100000019-hits,56,168,3,3,3,9,5,-0.002327227830610996,0.6443499564808588,0.6458512518828715,107.60644273230342,108.50301031632242,0.67677008007738,0.6656626399774381,0.016548603769416196
19,event100000020-hits,21,63,3,3,3,9,5,-0.08088048435896977,0.7758228897961538,0.8411792225033349,48.101019167361535,52.9942910177101,0.8907596142103988,0.9136946727191396,-0.025421861723265864
20,event100000021-hits,29,87,3,3,3,9,5,0.009823705597735436,1.1102561741538037,1.0994027421056696,95.48203097722713,95.64803856319325,1.2241286022721427,1.1664394946730885,0.048273303771320934
21,event100000022-hits,43,129,3,3,3,9,5,0.005671970675070951,0.9181775708980028,0.9129844362176335,117.52672907494436,117.77499227207471,0.9793894089578696,0.9497983247747961,0.030679653056006916
22,event100000023-hits,56,168,3,3,3,9,5,-0.008609690953372077,0.4738871655924951,0.4779848020146152,79.13915665394669,80.30144673845535,0.4977305449933754,0.49264691250586107,0.010266140646654908
23,event100000024-hits,21,63,3,3,3,9,5,-0.011717962822676077,0.698069239526408,0.7062973028430088,43.280292850637295,44.496730079109554,0.8014869046414314,0.7671850013639578,0.043740659813027764
24,event100000025-hits,29,87,3,3,3,9,5,0.006968500367456486,1.074194929658975,1.0667354228709347,92.38076395067185,92.80598178977132,1.184368768598357,1.1317802657289187,0.045418098541041736
25,event100000026-hits,43,129,3,3,3,9,5,0.0004375092903247035,0.80357468346749,0.803223188974663,102.85755948383871,103.61579137773154,0.8571463290319893,0.8356112207881575,0.025445191671260622
26,event100000027-hits,56,168,3,3,3,9,5,-0.001582479237411551,0.5999286799112816,0.6008788061704292,100.18808954518403,100.9476394366321,0.6301137707244279,0.619310671390381,0.017293352362615477
27,event100000028-hits,21,63,3,3,3,9,5,-0.021785236531938333,0.7067326637703933,0.722297932953874,43.81742515376439,45.504769776094065,0.811433799143785,0.7845649961395529,0.03367338610376544
28,event100000029-hits,29,87,3,3,3,9,5,0.004414226301380674,0.953610349336289,0.9494101745321948,82.01049004292085,82.59868518430095,1.0514165390118058,1.0073010388329384,0.04286382447496591
