Complexity,Loss,Equation
1,45.748726,"10.133601"
3,42.636936,"10.533826 - x0"
4,23.47625,"exp(exp(cos(x0)))"
5,20.21392,"exp(cos(x0) * 2.6509895)"
6,15.796091,"cos(-1.6598988 * x0) * 14.706954"
7,1.5319985,"6.801693 * exp(sin(5.7340913 * x0))"
8,1.1044374,"6.7740536 * exp(sin(6.164077 * sin(x0)))"
9,0.66395336,"(exp(sin(5.7566586 * x0)) * 7.7389207) - 1.916694"
10,0.406219,"-3.432944 + (exp(sin(sin(5.789799 * x0))) * 9.375813)"
11,0.39698225,"(9.137676 * exp(sin(sin(sin(x0) * 6.0701737)))) + -3.0519454"
12,0.36820436,"(9.1409645 * exp(sin(sin((6.3008533 - x0) * x0)))) + -3.1182334"
