track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K,PID,particle_id,purity_reco,eff_true,n_shared,n_reco_hits,n_true_hits,pt,track_id,n_rows_csv
0,65050,49,147,39,39,39,117,5,-1.9345134004582387,10.258828226474732,70.99802258462563,1497.788921065311,10436.709319939968,49.9262973688437,73.49795295732372,-0.38670968958953317,211,2105,0.5102040816326531,1.0,25,49,25,6.0717555945541815,174,49
1,65142,50,150,42,78,42,162,5,-1.8261445723212262,0.021168082988191835,0.13145164957183486,3.1540443652405834,19.71774743577523,3.1540443652405834,0.13598446507431194,3.1439001819485513,-211,830,0.5,1.0,25,50,25,6.680179189213415,101,50
4,65251,27,81,32,39,41,112,5,-12.613736580891109,7.542859208674273e-06,2.2678388702105106,0.0006034287366939418,183.69494848705136,0.0006034287366939418,2.4170387958822546,-8.295425760603335,211,821,0.925925925925926,1.0,25,27,25,0.3538163365363448,132,27
12,65753,45,135,39,39,39,117,5,-2.2378340918296957,2.869387938323049,26.894796707491032,384.4979837352886,3630.7975555112894,21.36099909640492,27.929211965471456,-0.2681063777577962,211,281,0.4888888888888889,1.0,22,45,22,0.315412428417144,25,45
18,65943,47,141,39,78,39,156,5,-1.4184621673548228,0.4016643498175154,1.6591802872123382,56.23300897445216,233.9444204969397,56.23300897445216,1.7201795624774978,3.4870752506123655,-211,1713,0.4893617021276595,1.0,23,47,23,1.4187660131254909,334,47
21,66071,49,147,32,39,39,110,5,-1.1256201908836758,1.154834191853238,3.5593465253336203,168.60579201057277,523.2239392240422,4.556913297583048,3.6846756283383253,0.21246298900296043,211,1300,0.5102040816326531,1.0,25,49,25,1.4286766604099053,168,49
22,66080,45,135,39,39,77,155,5,-2.669327464449952,0.5335218508003354,7.698859590971127,71.49192800724495,1039.3460447811021,71.49192800724495,7.994969575239248,2.1907720075181127,-211,634,0.4888888888888889,1.0,22,45,22,0.3607603082380322,50,45
23,66126,49,147,39,39,42,120,5,-1.9220992897006948,1.1307666978512783,7.729121330030203,165.09193788628662,1136.1808355144399,6.114516218010615,8.00127348953831,-0.26893506317416305,321,924,0.5102040816326531,1.0,25,49,25,7.020359250066908,80,49
34,66498,33,99,42,39,42,123,5,-1.9878590849450204,0.002406252802315476,0.01756537735082552,0.23581277462691666,1.7389723577317266,0.23581277462691666,0.018499705933316242,2.5452833258609653,-2112,966,0.2424242424242424,0.3478260869565217,8,33,23,0.2634862425251079,99,33
40,66644,47,141,39,16,16,71,5,0.38014138799448466,0.0020753728804248244,0.001419066769459211,0.2905522032594754,0.20008841449374876,0.004150745760849649,0.0014712383418657997,1.0371835639123137,-211,574,0.5319148936170213,1.0,25,47,25,39.57834038966263,111,47
44,66910,47,141,39,39,78,156,5,-0.46429092792991034,80.72872718949976,128.43018058856654,11302.021806529967,18108.65546298788,11302.021806529967,133.15187840432264,4.441246490037278,211,359,0.4680851063829787,0.9166666666666666,22,47,24,0.2581414341015405,35,47
46,66954,43,129,39,39,39,117,5,0.5040009852535189,55.79687451060449,33.707382215554105,7141.999937357375,4348.25230580648,595.1666614464478,35.066550853278066,2.8315937606285004,211,878,0.5813953488372093,1.0,25,43,25,0.3032886413962778,7,43
