track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K
2,event65228_track18-hits,27,81,42,39,42,123,5,-25.851946726211473,1.7698653655748395e-15,0.0002987432080153865,1.4158922924598716e-13,0.02419819984924631,1.4158922924598716e-13,0.00031839736643745145,-21.5336359059237
3,event65228_track52-hits,23,69,32,32,32,96,5,-26.6201304032225,6.794034774770908e-16,0.0002472313310941346,4.6199436468442173e-14,0.017058961845495286,4.6199436468442173e-14,0.00026654627883586384,-22.475846119283982
5,event65310_track134-hits,27,81,39,42,42,123,5,-27.40400170319064,1.1640083628458932e-14,0.009276044475946058,9.312066902767146e-13,0.7513596025516307,9.312066902767146e-13,0.009886310559889878,-23.08569088290287
6,event65332_track170-hits,26,78,39,39,39,117,5,-26.206694845413114,2.4679393949921755e-17,5.9396034500556326e-06,1.900313334143975e-15,0.00046328906910433936,1.900313334143975e-15,6.346425604169032e-06,-21.92913880910063
7,event65404_track355-hits,23,69,32,32,32,96,5,-28.26576747932913,1.2698069679127606e-16,0.00023955461885798637,8.634687381806773e-15,0.01652926870120106,8.634687381806773e-15,0.00025826982345626654,-24.121483195390613
8,event65413_track43-hits,26,78,39,39,42,120,5,-29.72303728203666,7.270947570439394e-16,0.005890363414288329,5.598629629238333e-14,0.45944834631448966,5.598629629238333e-14,0.006293812963212187,-25.445481245724178
9,event65442_track221-hits,26,78,32,32,39,103,5,-29.742560726142926,2.906381325497975e-16,0.002400947122355539,2.2379136206334407e-14,0.18727387554373204,2.2379136206334407e-14,0.0025653955553935895,-25.46500468983044
10,event65644_track253-hits,23,69,32,32,32,96,5,-30.213388514541503,1.3121842405964356e-16,0.0017358121703226067,8.922852836055762e-15,0.11977103975225986,8.922852836055762e-15,0.0018714224961290603,-26.06910423060298
11,event65741_track89-hits,25,75,32,32,32,96,5,-39.922275239680516,9.355783390425635e-18,2.037529943658656,6.92327970891497e-16,152.8147457743992,6.92327970891497e-16,2.1830677967771313,-35.6872030179633
13,event65778_track89-hits,25,75,32,32,32,96,5,-27.379459121979732,1.0623976254884438e-16,8.26104723783525e-05,7.861742428614484e-15,0.006195785428376437,7.861742428614484e-15,8.851122040537767e-05,-23.14438690026251
14,event65808_track89-hits,26,78,32,32,32,96,5,-31.48049169347747,3.7823929013630953e-17,0.0017765215084200548,2.9124425340495835e-15,0.13856867765676428,2.9124425340495835e-15,0.0018982010637912914,-27.202935657164986
15,event65812_track271-hits,27,81,39,39,39,117,5,-25.167338010449306,1.8284739720658626e-15,0.00015564128392790575,1.4627791776526902e-13,0.012606943998160366,1.4627791776526902e-13,0.00016588084208105745,-20.849027190161532
16,event65813_track388-hits,25,75,32,32,32,96,5,-31.732112939631257,2.4060351330376007e-19,1.4533945035715002e-05,1.7804659984478243e-17,0.001090045877678625,1.7804659984478243e-17,1.55720839668375e-05,-27.497040717914036
17,event65902_track55-hits,27,81,39,42,39,120,5,-23.098785214798653,8.689971384112765e-15,9.3474532934025e-05,6.951977107290213e-13,0.007571437167656025,6.951977107290213e-13,9.962417325863191e-05,-18.78047439451088
19,event65968_track51-hits,26,78,32,32,32,96,5,-27.797344298848397,7.113345350737837e-16,0.0008400538656301559,5.477275920068134e-14,0.06552420151915216,5.477275920068134e-14,0.0008975918016322213,-23.519788262535915
20,event65996_track61-hits,25,75,32,32,32,96,5,-39.144239081657126,4.947197440602279e-18,0.4948644711258912,3.660926106045686e-16,37.11483533444184,3.660926106045686e-16,0.5302119333491692,-34.90916685993991
