track_idx,event_id,n_hits,n_obs,kx,ky,kz,k_sr,k_helix,old_log_ratio,old_chi2nu_sr,old_chi2nu_helix,chi2_sr_total_recovered,chi2_helix_total_recovered,chi2nu_sr_K,chi2nu_helix_K,log_ratio_K,PID,particle_id,purity_reco,eff_true,n_shared,n_reco_hits,n_true_hits,pt,track_id,n_rows_csv
2,65228,27,81,42,39,42,123,5,-25.851946726211473,1.7698653655748395e-15,0.0002987432080153865,1.4158922924598716e-13,0.02419819984924631,1.4158922924598716e-13,0.00031839736643745145,-21.5336359059237,-211,308,0.074074074074074,0.08,2,27,25,4.790622193410789,18,27
3,65228,23,69,32,32,32,96,5,-26.6201304032225,6.794034774770908e-16,0.0002472313310941346,4.6199436468442173e-14,0.017058961845495286,4.6199436468442173e-14,0.00026654627883586384,-22.475846119283982,-211,425,0.0434782608695652,0.04,1,23,25,10.643033590100147,52,23
5,65310,27,81,39,42,42,123,5,-27.40400170319064,1.1640083628458932e-14,0.009276044475946058,9.312066902767146e-13,0.7513596025516307,9.312066902767146e-13,0.009886310559889878,-23.08569088290287,211,784,0.925925925925926,1.0,25,27,25,5.9027161544495765,134,27
6,65332,26,78,39,39,39,117,5,-26.206694845413114,2.4679393949921755e-17,5.9396034500556326e-06,1.900313334143975e-15,0.00046328906910433936,1.900313334143975e-15,6.346425604169032e-06,-21.92913880910063,-211,867,0.9615384615384616,1.0,25,26,25,4.999507375732133,170,26
7,65404,23,69,32,32,32,96,5,-28.26576747932913,1.2698069679127606e-16,0.00023955461885798637,8.634687381806773e-15,0.01652926870120106,8.634687381806773e-15,0.00025826982345626654,-24.121483195390613,-211,1789,0.9565217391304348,0.88,22,23,25,4.58719402249349,355,23
8,65413,26,78,39,39,42,120,5,-29.72303728203666,7.270947570439394e-16,0.005890363414288329,5.598629629238333e-14,0.45944834631448966,5.598629629238333e-14,0.006293812963212187,-25.445481245724178,211,1138,0.9615384615384616,1.0,25,26,25,0.2956298361126631,43,26
9,65442,26,78,32,32,39,103,5,-29.742560726142926,2.906381325497975e-16,0.002400947122355539,2.2379136206334407e-14,0.18727387554373204,2.2379136206334407e-14,0.0025653955553935895,-25.46500468983044,-211,2248,0.9615384615384616,1.0,25,26,25,5.410820732569136,221,26
10,65644,23,69,32,32,32,96,5,-30.213388514541503,1.3121842405964356e-16,0.0017358121703226067,8.922852836055762e-15,0.11977103975225986,8.922852836055762e-15,0.0018714224961290603,-26.06910423060298,-211,1474,0.9565217391304348,0.88,22,23,25,17.77177382818046,253,23
11,65741,25,75,32,32,32,96,5,-39.922275239680516,9.355783390425635e-18,2.037529943658656,6.92327970891497e-16,152.8147457743992,6.92327970891497e-16,2.1830677967771313,-35.6872030179633,-211,1749,0.76,0.76,19,25,25,0.9761967014900224,89,25
13,65778,25,75,32,32,32,96,5,-27.379459121979732,1.0623976254884438e-16,8.26104723783525e-05,7.861742428614484e-15,0.006195785428376437,7.861742428614484e-15,8.851122040537767e-05,-23.14438690026251,321,902,0.04,0.04,1,25,25,0.6203619910987455,89,25
14,65808,26,78,32,32,32,96,5,-31.48049169347747,3.7823929013630953e-17,0.0017765215084200548,2.9124425340495835e-15,0.13856867765676428,2.9124425340495835e-15,0.0018982010637912914,-27.202935657164986,211,613,0.9615384615384616,1.0,25,26,25,1.835144953402864,89,26
15,65812,27,81,39,39,39,117,5,-25.167338010449306,1.8284739720658626e-15,0.00015564128392790575,1.4627791776526902e-13,0.012606943998160366,1.4627791776526902e-13,0.00016588084208105745,-20.849027190161532,211,1325,0.074074074074074,0.08,2,27,25,0.5403785710036992,271,27
16,65813,25,75,32,32,32,96,5,-31.732112939631257,2.4060351330376007e-19,1.4533945035715002e-05,1.7804659984478243e-17,0.001090045877678625,1.7804659984478243e-17,1.55720839668375e-05,-27.497040717914036,-211,2439,0.96,0.96,24,25,25,0.9891865344817428,388,25
17,65902,27,81,39,42,39,120,5,-23.098785214798653,8.689971384112765e-15,9.3474532934025e-05,6.951977107290213e-13,0.007571437167656025,6.951977107290213e-13,9.962417325863191e-05,-18.78047439451088,211,299,0.074074074074074,0.08,2,27,25,19.592920277487988,55,27
19,65968,26,78,32,32,32,96,5,-27.797344298848397,7.113345350737837e-16,0.0008400538656301559,5.477275920068134e-14,0.06552420151915216,5.477275920068134e-14,0.0008975918016322213,-23.519788262535915,321,313,0.0384615384615384,0.04,1,26,25,10.816527954940067,51,26
20,65996,25,75,32,32,32,96,5,-39.144239081657126,4.947197440602279e-18,0.4948644711258912,3.660926106045686e-16,37.11483533444184,3.660926106045686e-16,0.5302119333491692,-34.90916685993991,211,1292,0.96,0.96,24,25,25,0.4223091284829159,61,25
24,66155,26,78,39,39,39,117,5,-23.6719153751064,3.5226708934188607e-13,0.0067213156968314825,2.7124565879325226e-11,0.5242626243528556,2.7124565879325226e-11,0.007181679785655557,-19.39435933879392,-211,3129,0.9615384615384616,1.0,25,26,25,1.527799070558691,555,26
25,66191,25,75,32,39,32,103,5,-22.307092750603164,1.4163021217757468e-16,6.902448812516238e-07,1.0480635701140526e-14,5.176836609387178e-05,1.0480635701140526e-14,7.395480870553112e-07,-18.072020528885947,211,964,0.04,0.04,1,25,25,1.200000833333044,148,25
26,66191,25,75,32,32,32,96,5,-28.123233643783998,1.9088729496891666e-16,0.00031227858905602665,1.4125659827699832e-14,0.023420894179201998,1.4125659827699832e-14,0.00033458420256002856,-23.888161422066776,-211,1275,0.96,0.96,24,25,25,8.212118910488327,180,25
27,66207,21,63,32,32,32,96,5,-20.043190028235678,7.424979849214916e-15,3.761335806757826e-06,4.603487506513248e-13,0.00023696415582574303,4.603487506513248e-13,4.085588893547294e-06,-15.998747359035699,2212,782,0.0476190476190476,0.04,1,21,25,1.702989430384111,168,21
28,66236,24,72,32,32,32,96,5,-33.57372418573928,2.2295780174496224e-15,0.8493874201853836,1.583000392389232e-13,61.15589425334762,1.583000392389232e-13,0.9127745410947405,-29.38301780832305,211,1853,0.6666666666666666,0.64,16,24,25,10.18587438563818,283,24
29,66244,25,75,32,32,32,96,5,-39.590140156673655,6.364310779629024e-19,0.0994330558359557,4.7095899769254773e-17,7.457479187696677,4.7095899769254773e-17,0.10653541696709538,-35.35506793495644,211,1955,0.84,0.84,21,25,25,0.7365955470948762,290,25
30,66267,25,75,39,32,39,110,5,-26.48821165358066,1.4833692072762784e-16,4.7307872322955785e-05,1.0976932133844461e-14,0.003548090424221684,1.0976932133844461e-14,5.068700606030977e-05,-22.25313943186344,-211,1456,0.04,0.04,1,25,25,9.226335458891574,221,25
31,66306,20,60,32,32,32,96,5,-25.75291688743855,2.6632646212306086e-15,0.0004071589794130594,1.5713261265260591e-13,0.024429538764783564,1.5713261265260591e-13,0.00044417343208697386,-21.76239082052246,211,1236,0.05,0.04,1,20,25,0.3805693103759156,149,20
32,66409,26,78,39,32,39,110,5,-28.770969005864252,4.0738465047088675e-17,0.0001273731061617858,3.136861808625828e-15,0.009935102280619293,3.136861808625828e-15,0.00013609729151533277,-24.49341296955177,-211,1361,0.9615384615384616,1.0,25,26,25,0.7041967054736908,225,26
33,66437,25,75,39,32,32,103,5,-26.26593706572264,3.722983506481714e-15,0.0009506981348456052,2.755007794796468e-13,0.0713023601134204,2.755007794796468e-13,0.0010186051444774343,-22.03086484400542,-211,1872,0.96,0.96,24,25,25,0.5072908435996061,3,25
35,66512,25,75,32,32,32,96,5,-24.77764781092844,5.527822346713521e-16,3.186763219529923e-05,4.090588536568006e-14,0.0023900724146474423,4.090588536568006e-14,3.4143891637820606e-05,-20.54257558921122,321,1148,0.04,0.04,1,25,25,11.13122747049938,248,25
36,66571,25,75,32,32,32,96,5,-26.841222426023883,4.955051961341452e-16,0.0002249277299662303,3.666738451392675e-14,0.01686957974746727,3.666738451392675e-14,0.00024099399639238958,-22.606150204306665,211,913,0.04,0.04,1,25,25,0.3588481573033363,190,25
37,66607,25,75,32,32,32,96,5,-31.5819101597544,7.062762453900701e-17,0.00367133411555476,5.226444215886519e-15,0.275350058666607,5.226444215886519e-15,0.003933572266665814,-27.346837938037183,-211,2856,0.96,0.96,24,25,25,0.5459963369840497,136,25
38,66623,26,78,32,32,39,103,5,-27.86263071458854,2.9644813363861965e-16,0.0003737106642789646,2.2826506290173712e-14,0.029149431813759237,2.2826506290173712e-14,0.0003993072851199895,-23.585074678276058,2112,648,0.9615384615384616,1.0,25,26,25,1.0130769960866746,58,26
39,66637,25,75,32,32,32,96,5,-27.290460202291293,5.887864336680487e-17,4.1884570775896464e-05,4.35701960914356e-15,0.003141342808192235,4.35701960914356e-15,4.4876325831317644e-05,-23.055387980574075,211,1616,0.96,0.96,24,25,25,9.677309233459477,330,25
41,66652,30,90,39,42,39,120,5,-30.60772876449695,1.8640811398378144e-15,0.036579058109228804,1.6590322144556548e-13,3.2921152298305922,1.6590322144556548e-13,0.038730767409771674,-26.176250808604763,-211,2014,0.8333333333333334,1.0,25,30,25,13.67409510717254,343,30
42,66724,26,78,39,32,32,103,5,-23.91068860257619,2.3833667135650458e-14,0.0005773923004375486,1.8351923694450853e-12,0.045036599434128785,1.8351923694450853e-12,0.0006169397182757368,-19.633132566263708,-211,1742,0.9615384615384616,1.0,25,26,25,0.6831698178344825,199,26
43,66741,26,78,39,39,39,117,5,-32.48191805966758,1.1123988960750348e-14,1.4222577997800367,8.565471499777768e-13,110.93610838284286,8.565471499777768e-13,1.51967271757319,-28.204362023355092,-211,1640,0.9615384615384616,1.0,25,26,25,0.503401430272104,70,26
45,66927,23,69,32,32,32,96,5,-29.191476482592282,2.5336250335434593e-17,0.00012062560274218676,1.7228650228095522e-15,0.008323166589210887,1.7228650228095522e-15,0.0001300494779564201,-25.04719219865376,211,1336,0.9565217391304348,1.0,22,23,22,1.4465303315174558,197,23
47,67176,26,78,32,32,32,96,5,-26.892564613424014,1.0083025327239417e-16,4.818182810847897e-05,7.763929501974351e-15,0.0037581825924613596,7.763929501974351e-15,5.148195332138849e-05,-22.61500857711153,2212,1073,0.0384615384615384,0.04,1,26,25,16.426548541918354,183,26
49,67232,24,72,32,32,32,96,5,-25.33497506838901,5.095268093339447e-16,5.128695455414424e-05,3.6176403462710076e-14,0.003692660727898385,3.6176403462710076e-14,5.511433922236396e-05,-21.144268690972783,211,1729,0.125,0.12,3,24,25,6.303047199569428,390,24
51,67357,26,78,39,39,39,117,5,-35.25665548615954,4.024975173224977e-16,0.8251523367918104,3.099230883383232e-14,64.36188226976121,3.099230883383232e-14,0.8816696201337152,-30.979099449847055,211,1834,0.9615384615384616,1.0,25,26,25,2.482893876105058,147,26
52,67431,25,75,32,32,32,96,5,-25.59301377100964,1.0664672970230187e-17,1.3894796752397578e-06,7.891857997970339e-16,0.00010421097564298183,7.891857997970339e-16,1.488728223471169e-06,-21.357941549292423,211,366,0.04,0.04,1,25,25,1.0587657909093966,50,25
54,67496,25,75,32,32,32,96,5,-30.11272387212245,1.0405569147707448e-17,0.00012446740992747547,7.700121169303511e-16,0.00933505574456066,7.700121169303511e-16,0.00013335793920800942,-25.87765165040523,-211,1300,0.96,0.96,24,25,25,1.99204041123668,19,25
58,67681,24,72,32,32,32,96,5,-27.101723218517595,2.7536646224456277e-16,0.00016219590635796027,1.9551018819363956e-14,0.011678105257773139,1.9551018819363956e-14,0.00017430007847422596,-22.911016841101368,-211,1686,0.9583333333333334,0.92,23,24,25,0.268895890634275,211,24
59,67773,26,78,42,39,42,123,5,-35.409157272410006,8.985659750628533e-16,2.1456139389468767,6.918958007983971e-14,167.35788723785637,6.918958007983971e-14,2.2925737977788545,-31.131601236097524,211,690,0.9615384615384616,1.0,25,26,25,1.995998496993422,88,26
60,67790,25,75,32,32,32,96,5,-34.60526352095754,8.35411821496297e-17,0.08928440492357347,6.182047479072598e-15,6.69633036926801,6.182047479072598e-15,0.09566186241811442,-30.37019129924032,211,2501,0.56,0.56,14,25,25,0.8627444581102796,429,25
61,67821,24,72,32,32,32,96,5,-33.58012076840476,8.048473734184257e-17,0.030858490821492994,5.714416351270823e-15,2.2218113391474956,5.714416351270823e-15,0.03316136327085814,-29.389414390988538,211,486,0.4583333333333333,0.44,11,24,25,0.4619534608594247,40,24
62,67901,25,75,32,32,32,96,5,-30.941464969867592,1.9004506954340283e-17,0.0005206718584513531,1.406333514621181e-15,0.03905038938385148,1.406333514621181e-15,0.0005578627054835927,-26.706392748150375,211,1006,0.96,0.96,24,25,25,0.4403316931586915,12,25
63,67913,24,72,32,32,32,96,5,-26.974886141476503,7.916120733274201e-16,0.00041073017523778364,5.620445720624683e-14,0.029572572617120423,5.620445720624683e-14,0.00044138168085254364,-22.784179764060276,211,1175,0.0833333333333333,0.08,2,24,25,4.229794912285937,151,24
